observation,regime,language_rms_m,same_instruction_floor_m,ratio
1,in-vocabulary,0.8375535676568729,0.12724317452609377,6.58230644414735
1,heldout-lexical,0.06355875215451666,0.13641035593131326,0.4659378807465352
2,in-vocabulary,1.259182516591753,0.10990054099246362,11.457473322884743
2,heldout-lexical,0.08853129602288394,0.11762684167901871,0.7526453550837403
3,in-vocabulary,0.21434588329536228,0.1922355998887029,1.1150165912009034
3,heldout-lexical,0.04368337031370283,0.1584146195539023,0.2757534022851918
4,in-vocabulary,0.7977033338839226,0.15298516065019999,5.214253006589759
4,heldout-lexical,0.06537825931985251,0.2770479132358026,0.23598177858934963
5,in-vocabulary,0.42152056172046576,0.059845662042552525,7.043460584006051
5,heldout-lexical,0.05772700949226621,0.03737118479464976,1.5446930518652084
6,in-vocabulary,0.37668744268935883,0.05825803278689887,6.465845561027401
6,heldout-lexical,0.051982163957592586,0.041598334173435954,1.2496212887002476
7,in-vocabulary,0.29327682150546935,0.11150762008978513,2.6301056490069916
7,heldout-lexical,0.04881911793481976,0.08224138363396521,0.5936076921091311
8,in-vocabulary,0.9861328847446911,0.18926991280798944,5.210193580767923
8,heldout-lexical,0.07693535878156624,0.11645113682992309,0.6606664466825287
9,in-vocabulary,0.3652499443265332,0.10650779457475287,3.4293259548265382
9,heldout-lexical,0.047418090532585104,0.08116941805537237,0.5841866514336386
10,in-vocabulary,0.8657573459794177,0.15072239529157663,5.744052463501434
10,heldout-lexical,0.057967873214984915,0.30146231034565546,0.1922889569462902
11,in-vocabulary,0.8714488174996009,0.28510759997129076,3.056561163530374
11,heldout-lexical,0.05514037846074369,0.4599583803202189,0.11988123452029606
12,in-vocabulary,0.36650276261330095,0.08040254119198852,4.5583479972125565
12,heldout-lexical,0.04869955132343666,0.06055359529126236,0.8042388084339528
13,in-vocabulary,0.663696266589247,0.1425755144168004,4.655050829057646
13,heldout-lexical,0.07878414306831551,0.3164718714804032,0.24894516754293608
14,in-vocabulary,0.35478873082615586,0.09732801374461864,3.645288927369819
14,heldout-lexical,0.05143255814617862,0.07352742612095935,0.6995016806595046
15,in-vocabulary,0.4402195000075696,0.09523031114230501,4.6226825758212495
15,heldout-lexical,0.06011101527444616,0.10124511767239842,0.5937176691220707
16,in-vocabulary,0.32780573871689633,0.07776322658833834,4.215433863775083
16,heldout-lexical,0.04429715812247647,0.06033141727011784,0.7342303583578643
17,in-vocabulary,0.47278150797840157,0.08409724577486008,5.621842946487247
17,heldout-lexical,0.07129863363902177,0.13374217397186464,0.5331050896033802
18,in-vocabulary,0.6146939752749415,0.14479363451139374,4.245310764863572
18,heldout-lexical,0.06766930491547558,0.1578649097160778,0.42865323926121235
19,in-vocabulary,0.430530484047377,0.06446531752620993,6.678482330787162
19,heldout-lexical,0.05534306095458282,0.04347888141995768,1.272872234684015
20,in-vocabulary,0.8889380852601907,0.11231890995886037,7.9144116123080845
20,heldout-lexical,0.08836071729969543,0.3214725764253459,0.27486237949822456
