regime,run_id,pair_id,start_lane,comparison,instruction_order,requested_a,requested_b,D_shape_m,local_conservative_floor_m,D_over_local_floor,shared_prefix_m,arclen_a_m,arclen_b_m,watchdog_a,watchdog_b,underrun_a_pct,underrun_b_pct,prefill_a_s,prefill_b_s,latency_a_ms,latency_b_ms,state_steer_source,max_speed_mps,track_mode,policy_seed
familiar-wording,icce26_bal_familiar_outer_ab,icce26_bal_familiar_outer_ab:same:r0,outer,same,lane1->lane1,lane1,lane1,0.17038796065803677,0.26508043290669037,0.6427783401048472,54.00000000000023,53.94695611254041,54.12167914824098,0,0,0.0,0.0,0.27740786399226636,0.29879128001630306,249.0,251.4,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_outer_ab,icce26_bal_familiar_outer_ab:different:r0,outer,different,lane1->lane2,lane1,lane2,6.949986742436136,0.26508043290669037,26.21840724427429,2.4,54.12118450649937,57.0599820109273,0,0,0.0,0.0,0.26769092900212854,0.25036385998828337,248.4,247.3,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_outer_ba,icce26_bal_familiar_outer_ba:same:r0,outer,same,lane2->lane2,lane2,lane2,0.26508043290669037,0.26508043290669037,1.0,57.400000000000276,57.37572528004906,57.25232028754413,0,0,0.0,0.0,0.24871317902579904,0.2717716739862226,244.6,249.1,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_outer_ba,icce26_bal_familiar_outer_ba:different:r0,outer,different,lane2->lane1,lane2,lane1,6.7402508120969875,0.26508043290669037,25.427191053628576,2.4,57.461011542366116,53.935893297469605,0,0,0.0,0.0,0.29758526996010914,0.29870466503780335,248.0,247.5,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_inner_ab,icce26_bal_familiar_inner_ab:same:r0,inner,same,lane1->lane1,lane1,lane1,0.16731896237614383,0.18391851074948468,0.9097450914228471,58.20000000000029,58.08774084814502,58.24898600863899,0,0,0.0,0.0,0.2847395130083896,0.26467527297791094,244.9,244.8,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_inner_ab,icce26_bal_familiar_inner_ab:different:r0,inner,different,lane1->lane2,lane1,lane2,7.80183264986706,0.18391851074948468,42.4200512393988,2.6,58.05054065214343,53.68550160031038,0,0,0.0,0.0,0.2775411650072783,0.279353860008996,244.8,245.6,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_inner_ba,icce26_bal_familiar_inner_ba:same:r0,inner,same,lane2->lane2,lane2,lane2,0.18391851074948468,0.18391851074948468,1.0,53.800000000000225,53.76274000617212,53.64526318386286,0,0,0.0,0.0,0.2961151680210605,0.2484790309681557,246.7,245.8,zero,2.25,replay,0
familiar-wording,icce26_bal_familiar_inner_ba,icce26_bal_familiar_inner_ba:different:r0,inner,different,lane2->lane1,lane2,lane1,7.859736158424334,0.18391851074948468,42.734883652521944,2.6,53.76375735949281,57.96323733155573,0,0,0.0,0.0,0.24712683400139213,0.2804702110006474,244.9,245.6,zero,2.25,replay,0
test-wording,icce26_bal_test_outer_ab,icce26_bal_test_outer_ab:same:r0,outer,same,lane1->lane1,lane1,lane1,0.20394443730800665,0.28221565015002,0.7226545983526924,57.60000000000028,57.5059379700554,57.66603167702531,0,0,0.0,0.0,0.2678811519872397,0.2771523589617573,248.1,249.4,zero,2.25,replay,0
test-wording,icce26_bal_test_outer_ab,icce26_bal_test_outer_ab:different:r0,outer,different,lane1->lane2,lane1,lane2,0.6091280472465793,0.28221565015002,2.1583779883318996,11.99999999999999,57.77208776567392,58.90747053222186,0,0,0.0,0.0,0.28662706998875365,0.26669861504342407,250.9,250.0,zero,2.25,replay,0
test-wording,icce26_bal_test_outer_ba,icce26_bal_test_outer_ba:same:r0,outer,same,lane2->lane2,lane2,lane2,0.28221565015002,0.28221565015002,1.0,59.0000000000003,58.89109731015046,58.965788812849844,0,0,0.0,0.0,0.2850743700400926,0.23908297799061984,243.5,243.5,zero,2.25,replay,0
test-wording,icce26_bal_test_outer_ba,icce26_bal_test_outer_ba:different:r0,outer,different,lane2->lane1,lane2,lane1,0.723694776283086,0.28221565015002,2.564332544628141,11.79999999999999,58.97768710301536,58.07067527440126,0,0,0.0,0.0,0.2850910949637182,0.282395607966464,243.1,243.3,zero,2.25,replay,0
test-wording,icce26_bal_test_inner_ab,icce26_bal_test_inner_ab:same:r0,inner,same,lane1->lane1,lane1,lane1,0.17251847714405621,0.29162797656153283,0.591570394507933,53.00000000000021,53.03843357328451,52.87556330567126,0,0,0.0,0.0,0.26899144804337993,0.29678942798636854,249.2,247.6,zero,2.25,replay,0
test-wording,icce26_bal_test_inner_ab,icce26_bal_test_inner_ab:different:r0,inner,different,lane1->lane2,lane1,lane2,0.8893473458969086,0.29162797656153283,3.0495954345081784,8.8,53.12678897418305,54.43247274939632,0,0,0.0,0.0,0.27905445295618847,0.28511860000435263,246.1,246.1,zero,2.25,replay,0
test-wording,icce26_bal_test_inner_ba,icce26_bal_test_inner_ba:same:r0,inner,same,lane2->lane2,lane2,lane2,0.29162797656153283,0.29162797656153283,1.0,54.600000000000236,54.51841543380998,54.55983780947248,0,0,0.0,0.0,0.2836093890364282,0.2820245180046186,242.1,243.4,zero,2.25,replay,0
test-wording,icce26_bal_test_inner_ba,icce26_bal_test_inner_ba:different:r0,inner,different,lane2->lane1,lane2,lane1,0.569365524182162,0.29162797656153283,1.9523693539121998,7.800000000000004,54.372008140069845,52.7356287271727,0,0,0.0,0.0,0.28102373000001535,0.28202147205593064,242.7,243.6,zero,2.25,replay,0
