metric,component,effect,order,estimate_log2,ci95_low_log2,ci95_high_log2,multiplicative_change
raw_se2,language,T,1,-0.12584950665369582,-0.23127901944791276,-0.02297722927473897,0.9164642397754694
raw_se2,language,L,1,-3.1177184366354442,-3.4694723921711303,-2.796827688022311,0.11520550514632603
raw_se2,language,S,1,-0.02455326416971223,-0.06784202255605587,0.015402815177606378,0.9831249796855067
raw_se2,language,T_x_L,2,-0.2720284048380838,-0.3783612795509054,-0.1684834937517346,0.8281543558636759
raw_se2,language,T_x_S,2,0.014823738040301713,-0.009206999908697227,0.04550071053089292,1.010328001636984
raw_se2,language,L_x_S,2,-0.027961293178401837,-0.062141014210013466,0.002965848687308551,0.9808053181756287
raw_se2,language,T_x_L_x_S,3,0.026628690460570807,-0.0006780247207063321,0.059941395614286984,1.0186289961312671
raw_se2,floor,T,1,-0.1041256947223165,-0.19687420500943076,-0.011794874952083707,0.9303685958615012
raw_se2,floor,L,1,0.523914988781509,0.17319082938246355,0.8693699726985742,1.4378518045212605
raw_se2,floor,S,1,-0.004032568090467992,-0.034737109492593655,0.02337362912342492,0.9972087396291428
raw_se2,floor,T_x_L,2,-0.08457954540594906,-0.16248886820242198,-0.01570968835263306,0.9430593381780524
raw_se2,floor,T_x_S,2,0.021875201675023857,0.012214764109046438,0.0318241961123585,1.0152782718380005
raw_se2,floor,L_x_S,2,0.02715847069381177,0.0032852307849367004,0.0524770180359926,1.0190031213537623
raw_se2,floor,T_x_L_x_S,3,0.008593250077414122,-0.0016979266856036285,0.018244647361327502,1.0059741616095974
raw_se2,ratio,T,1,-0.02172381193137927,-0.12429404490803622,0.08783576454892852,0.9850550027721467
raw_se2,ratio,L,1,-3.6416334254169533,-4.092071846152363,-3.198195579677419,0.080123351227204
raw_se2,ratio,S,1,-0.02052069607924419,-0.07681585342075357,0.03015033457510514,0.9858768185797552
raw_se2,ratio,T_x_L,2,-0.1874488594321349,-0.2623998370279058,-0.11317509772315923,0.8781572084993424
raw_se2,ratio,T_x_S,2,-0.0070514636347221325,-0.03201721899749136,0.02234169779607656,0.995124223241718
raw_se2,ratio,L_x_S,2,-0.05511976387221353,-0.10433662367286127,-0.009474769937969467,0.962514537612616
raw_se2,ratio,T_x_L_x_S,3,0.018035440383156714,-0.006628963474585714,0.0489035987273968,1.0125796814715615
bridge_transform,language,T,1,-0.2830250282982704,-0.42252786441717194,-0.16437368115419182,0.8218659291990932
bridge_transform,language,L,1,-3.3392779984624132,-3.7038427435283605,-3.009255878568713,0.09880459870245899
bridge_transform,language,S,1,0.04831033637139245,0.008461633177874227,0.08616004274189798,1.0340531462375633
bridge_transform,language,T_x_L,2,-0.2906011155844782,-0.43083576136374974,-0.17226723702672173,0.8175613411866999
bridge_transform,language,T_x_S,2,0.020027057157277477,-0.019099655870146823,0.07842182824157591,1.0139784963649854
bridge_transform,language,L_x_S,2,0.02498001675667938,-0.0207370578469743,0.0680635231891078,1.0174655987545642
bridge_transform,language,T_x_L_x_S,3,0.028295756480668732,-0.012546785826356922,0.0897627965861379,1.0198067247745521
bridge_transform,floor,T,1,-0.16151866442898882,-0.3154731191901002,0.0009280751874986597,0.8940834113659166
bridge_transform,floor,L,1,-0.007024643141451492,-0.1874259066523056,0.16732501898261154,0.9951427233196044
bridge_transform,floor,S,1,-0.004567146132501176,-0.028202081635203692,0.016350486568360436,0.996839301093998
bridge_transform,floor,T_x_L,2,0.2591487818418438,0.12180415079711979,0.4204736654440211,1.1967723772665775
bridge_transform,floor,T_x_S,2,0.0007327068024962302,-0.025766019580406217,0.026556101096154756,1.0005080026439876
bridge_transform,floor,L_x_S,2,-0.010084938723166136,-0.03352538282549506,0.013018367805653387,0.9930340288012657
bridge_transform,floor,T_x_L_x_S,3,-0.011848574703233838,-0.035673061361628684,0.012433697802791764,0.9918208268065923
bridge_transform,ratio,T,1,-0.12150636386928142,-0.39397527632603707,0.10699439028473612,0.9192273547984806
bridge_transform,ratio,L,1,-3.3322533553209626,-3.760981877001861,-2.975260685471998,0.09928686246417583
bridge_transform,ratio,S,1,0.05287748250389364,0.007768056916786317,0.09577860868168199,1.0373318398489348
bridge_transform,ratio,T_x_L,2,-0.5497498974263222,-0.7705629324672586,-0.35536572179035414,0.6831385455720543
bridge_transform,ratio,T_x_S,2,0.019294350354781175,-0.035340148228881894,0.0922899575948728,1.0134636541490922
bridge_transform,ratio,L_x_S,2,0.03506495547984565,-0.01849843883790406,0.08617147432008886,1.0246029534182137
bridge_transform,ratio,T_x_L_x_S,3,0.040144331183902655,-0.016359656773117046,0.11668044047255408,1.028216687139014
