regime,run_id,rollout_id,comparison,start_lane,requested_lane,maneuver,cutoff_m,trajectory_arclength_m,points_after_cutoff,median_intended_distance_m,p95_intended_distance_m,fraction_closer_to_intended,median_alternate_distance_m
familiar-wording,icce26_bal_familiar_outer_ab,icce26_bal_familiar_outer_ab:same:r0:a,same,outer,lane1,change,15.0,53.946956112540406,195,0.2936390053248634,0.7260623692454065,1.0,3.4201130326349563
familiar-wording,icce26_bal_familiar_outer_ab,icce26_bal_familiar_outer_ab:same:r0:b,same,outer,lane1,change,15.0,54.12167914824098,196,0.3193079968411786,0.688914655977286,1.0,3.4505904556393405
familiar-wording,icce26_bal_familiar_outer_ab,icce26_bal_familiar_outer_ab:different:r0:a,different,outer,lane1,change,15.0,54.121184506499375,196,0.32861692054438474,0.6916880194243671,1.0,3.4600698451135727
familiar-wording,icce26_bal_familiar_outer_ab,icce26_bal_familiar_outer_ab:different:r0:b,different,outer,lane2,stay,15.0,57.0599820109273,211,0.10284442007612808,0.23074444182659815,1.0,3.080636215111657
familiar-wording,icce26_bal_familiar_outer_ba,icce26_bal_familiar_outer_ba:same:r0:a,same,outer,lane2,stay,15.0,57.37572528004906,212,0.11254654841035125,0.24839540439214003,1.0,3.08209401496801
familiar-wording,icce26_bal_familiar_outer_ba,icce26_bal_familiar_outer_ba:same:r0:b,same,outer,lane2,stay,15.0,57.25232028754412,212,0.10420590775403633,0.2706346833700322,1.0,3.136725373779303
familiar-wording,icce26_bal_familiar_outer_ba,icce26_bal_familiar_outer_ba:different:r0:a,different,outer,lane2,stay,15.0,57.46101154236612,213,0.09466331057301831,0.23851984432138118,1.0,3.1131600745927326
familiar-wording,icce26_bal_familiar_outer_ba,icce26_bal_familiar_outer_ba:different:r0:b,different,outer,lane1,change,15.0,53.93589329746962,195,0.3047257167560384,0.6924034108968056,1.0,3.4238360200599645
familiar-wording,icce26_bal_familiar_inner_ab,icce26_bal_familiar_inner_ab:same:r0:a,same,inner,lane1,stay,15.0,58.08774084814502,216,0.35333551600524526,0.7554539430491167,1.0,3.341975068878233
familiar-wording,icce26_bal_familiar_inner_ab,icce26_bal_familiar_inner_ab:same:r0:b,same,inner,lane1,stay,15.0,58.24898600863898,217,0.3499611146521962,0.7435457543921475,1.0,3.3381807617334536
familiar-wording,icce26_bal_familiar_inner_ab,icce26_bal_familiar_inner_ab:different:r0:a,different,inner,lane1,stay,15.0,58.05054065214344,216,0.3524201559952519,0.745225510218906,1.0,3.354090065514371
familiar-wording,icce26_bal_familiar_inner_ab,icce26_bal_familiar_inner_ab:different:r0:b,different,inner,lane2,change,15.0,53.68550160031039,194,0.07685507731075693,0.3353628598080568,1.0,3.16338088210063
familiar-wording,icce26_bal_familiar_inner_ba,icce26_bal_familiar_inner_ba:same:r0:a,same,inner,lane2,change,15.0,53.76274000617212,194,0.044959256843677464,0.2837324641575209,1.0,3.162850634332008
familiar-wording,icce26_bal_familiar_inner_ba,icce26_bal_familiar_inner_ba:same:r0:b,same,inner,lane2,change,15.0,53.64526318386286,194,0.07066352660223964,0.3320917815906293,1.0,3.1691304755606016
familiar-wording,icce26_bal_familiar_inner_ba,icce26_bal_familiar_inner_ba:different:r0:a,different,inner,lane2,change,15.0,53.763757359492814,194,0.07697458553926555,0.33071479093923445,1.0,3.153495972330057
familiar-wording,icce26_bal_familiar_inner_ba,icce26_bal_familiar_inner_ba:different:r0:b,different,inner,lane1,stay,15.0,57.96323733155573,215,0.3622710823612486,0.7292406485643911,1.0,3.384635115595435
test-wording,icce26_bal_test_outer_ab,icce26_bal_test_outer_ab:same:r0:a,same,outer,lane1,change,15.0,57.5059379700554,213,2.897225420650412,3.0557123706401086,0.0,0.2543187575058238
test-wording,icce26_bal_test_outer_ab,icce26_bal_test_outer_ab:same:r0:b,same,outer,lane1,change,15.0,57.66603167702531,214,2.8718005872042305,3.0230974869165244,0.0,0.2797614064028633
test-wording,icce26_bal_test_outer_ab,icce26_bal_test_outer_ab:different:r0:a,different,outer,lane1,change,15.0,57.77208776567393,214,2.847490566091909,3.093262995593413,0.0,0.30407139209998624
test-wording,icce26_bal_test_outer_ab,icce26_bal_test_outer_ab:different:r0:b,different,outer,lane2,stay,15.0,58.907470532221865,220,0.15410251288522583,0.30547534887079913,1.0,3.0343950490271165
