# Recovered v6 training instruction inventory
# Primary source: remote v6 LeRobot meta/tasks.parquet; recovered 2026-09-01.
# Cross-check: 406 packed_v6 episode meta.json files (same 388 strings).
# Sorted unique UTF-8 strings: 388.
# SHA-256 of the lines below (including one trailing newline):
# 958df102190e4d8dbb15198ee6cc91a2a828a1023e6347dc5f46dd2ae1efea85
Bring the car to M2 via the left lane, briskly.
Bring the car to M2 via the outer lane, quickly.
Bring the car to M3 via the inner driving lane, at a comfortable pace.
Bring the car to Start via the inner driving lane, at a comfortable pace.
Bring the car to T2 via the left lane, at a slow speed.
Bring the car to T2 via the leftmost lane, at low speed.
Bring the car to T4 via the inner lane, briskly.
Bring the car to checkpoint M2 via the right lane, at low speed.
Bring the car to checkpoint T2 via the left-hand lane, at high speed.
Bring the car to checkpoint T2 via the outer lane, at high speed.
Bring the car to checkpoint T3 via the left-hand lane, at your usual pace.
Bring the car to checkpoint T3 via the rightmost lane, at your usual pace.
Bring the car to checkpoint T4 via the inner driving lane, nice and slow.
Bring the car to checkpoint T4 via the inside lane, at cruising speed.
Bring the car to checkpoint T4 via the outer lane, at cruising speed.
Bring the car to checkpoint T4 via the outer lane, at high speed.
Continue in the inside lane until you reach T4, at a comfortable pace.
Continue in the left-hand lane until you reach T4, steadily.
Continue in the left-hand lane until you reach checkpoint T2, slowly.
Continue in the left-hand lane until you reach checkpoint T3, steadily.
Continue in the leftmost lane until you reach Start, at low speed.
Continue in the leftmost lane until you reach Start, gently.
Continue in the leftmost lane until you reach T3, at your usual pace.
Continue in the leftmost lane until you reach checkpoint T4, at a comfortable pace.
Continue in the outer driving lane until you reach checkpoint M3, at a slow speed.
Continue in the outer driving lane until you reach the start line, keeping the speed down.
Continue in the outside lane until you reach Start, gently.
Continue in the outside lane until you reach T2, slowly.
Continue in the right-hand lane until you reach the start line, nice and slow.
Continue in the rightmost lane until you reach T4, at medium speed.
Cruise in the inner driving lane, at a slow speed.
Cruise in the left-hand lane, at a fast speed.
Cruise in the left-hand lane, nice and slow.
Cruise in the leftmost lane, at a slow speed.
Cruise in the leftmost lane, briskly.
Cruise in the outer driving lane, fast.
Cruise in the outer driving lane, keeping the speed down.
Cruise in the outer driving lane, slowly.
Cruise in the outer lane, at medium speed.
Cruise in the outer lane, nice and slow.
Cruise in the right lane, gently.
Cruise in the right lane, nice and slow.
Cruise in the right lane, picking up the pace.
Cruise in the right-hand lane, at a fast speed.
Cruise in the right-hand lane, steadily.
Cruise in the rightmost lane, at high speed.
Drive along the inner driving lane and stop when you reach Start, fast.
Drive along the inner driving lane and stop when you reach checkpoint T2, at high speed.
Drive along the inner lane and stop when you reach checkpoint M3, at low speed.
Drive along the inside lane and stop when you reach checkpoint M3, at a slow speed.
Drive along the left-hand lane and stop when you reach Start, quickly.
Drive along the leftmost lane and stop when you reach T2, quickly.
Drive along the leftmost lane and stop when you reach T3, nice and slow.
Drive along the leftmost lane and stop when you reach T4, quickly.
Drive along the outer driving lane and stop when you reach T3, at a slow speed.
Drive along the outer driving lane and stop when you reach checkpoint T2, at a comfortable pace.
Drive along the outer lane and stop when you reach checkpoint M3, fast.
Drive along the outer lane and stop when you reach the start line, at a comfortable pace.
Drive along the outside lane and stop when you reach Start, at low speed.
Drive along the outside lane and stop when you reach T2, briskly.
Drive along the outside lane and stop when you reach T3, quickly.
Drive along the outside lane and stop when you reach checkpoint T3, at medium speed.
Drive along the right-hand lane and stop when you reach T3, at medium speed.
Drive along the right-hand lane and stop when you reach checkpoint T3, briskly.
Drive along the rightmost lane and stop when you reach M2, at a normal speed.
Drive along the rightmost lane and stop when you reach checkpoint T3, quickly.
Drive around in the inner driving lane, at low speed.
Drive around in the inside lane, at a slow speed.
Drive around in the inside lane, keeping the speed down.
Drive around in the left-hand lane, at a normal speed.
Drive around in the left-hand lane, at your usual pace.
Drive around in the leftmost lane, at a normal speed.
Drive around in the leftmost lane, briskly.
