capacity,warmup_sec,replicate_id,condition_id,n,l2_correct,valid_reset_l2_correct,reset_fail_rate,reset_fail_count,llm_call_rate,l1_parser_exact,c6_n,cmd_fp_oos_count,beh_fp_oos_count
0.6b,1,1,w1_r1,50,0.900,0.891,0.080,4,0.380,0.740,10,0,0
0.6b,1,2,w1_r2,50,0.880,0.875,0.200,10,0.380,0.740,10,0,0
0.6b,1,3,w1_r3,50,0.900,0.930,0.140,7,0.380,0.740,10,0,0
0.6b,3,1,w3_r1,50,0.900,0.909,0.120,6,0.380,0.740,10,0,0
0.6b,3,2,w3_r2,50,0.900,0.886,0.120,6,0.380,0.740,10,0,0
0.6b,3,3,w3_r3,50,0.900,0.892,0.260,13,0.380,0.740,10,0,0
0.6b,5,1,w5_r1,50,0.900,0.927,0.180,9,0.380,0.740,10,0,0
0.6b,5,2,w5_r2,50,0.900,0.891,0.080,4,0.380,0.740,10,0,0
0.6b,5,3,w5_r3,50,0.900,0.886,0.120,6,0.380,0.740,10,0,0
4b,1,1,w1_r1,50,0.980,1.000,0.020,1,0.380,0.980,10,0,0
4b,1,2,w1_r2,50,1.000,1.000,0.020,1,0.380,0.980,10,0,0
4b,1,3,w1_r3,50,1.000,1.000,0.080,4,0.380,0.980,10,0,0
4b,3,1,w3_r1,50,0.980,1.000,0.040,2,0.380,0.980,10,0,0
4b,3,2,w3_r2,50,1.000,1.000,0.040,2,0.380,0.980,10,0,0
4b,3,3,w3_r3,50,1.000,1.000,0.060,3,0.380,0.980,10,0,0
4b,5,1,w5_r1,50,1.000,1.000,0.020,1,0.380,0.980,10,0,0
4b,5,2,w5_r2,50,1.000,1.000,0.000,0,0.380,0.980,10,0,0
4b,5,3,w5_r3,50,1.000,1.000,0.040,2,0.380,0.980,10,0,0
8b,1,1,w1_r1,50,1.000,1.000,0.020,1,0.380,1.000,10,0,0
8b,1,2,w1_r2,50,1.000,1.000,0.040,2,0.380,1.000,10,0,0
8b,1,3,w1_r3,50,1.000,1.000,0.120,6,0.380,1.000,10,0,0
8b,3,1,w3_r1,50,1.000,1.000,0.060,3,0.380,1.000,10,0,0
8b,3,2,w3_r2,50,1.000,1.000,0.060,3,0.380,1.000,10,0,0
8b,3,3,w3_r3,50,1.000,1.000,0.020,1,0.380,1.000,10,0,0
8b,5,1,w5_r1,50,1.000,1.000,0.080,4,0.380,1.000,10,0,0
8b,5,2,w5_r2,50,1.000,1.000,0.020,1,0.380,1.000,10,0,0
8b,5,3,w5_r3,50,1.000,1.000,0.100,5,0.380,1.000,10,0,0
