prompt_id,model,parser,overall_exact,delta_vs_p0,c3_spatial_exact,c4_ambiguous_exact,c6_fp_oos,json_valid_rate,mean_latency_ms,p95_latency_ms,regressed_rows,improved_rows
P0,qwen3:0.6b,llm,0.273,+0.000,0.080,0.520,0.040,1.000,492,543,0,0
P0,qwen3:0.6b,hybrid,0.660,+0.000,0.480,0.920,0.000,1.000,216,526,0,0
P0,qwen3:4b,llm,0.860,+0.000,0.720,0.960,0.120,1.000,1482,1694,0,0
P0,qwen3:4b,hybrid,0.940,+0.000,0.880,0.960,0.000,1.000,643,1577,0,0
P0,qwen3:8b,llm,0.927,+0.000,0.880,1.000,0.240,1.000,2336,2578,0,0
P0,qwen3:8b,hybrid,0.967,+0.000,0.880,1.000,0.000,1.000,1005,2438,0,0
P1,qwen3:0.6b,llm,0.280,+0.007,0.120,0.640,0.120,1.000,506,568,6,7
P1,qwen3:0.6b,hybrid,0.640,-0.020,0.480,0.920,0.000,1.000,223,553,3,0
P1,qwen3:4b,llm,0.887,+0.027,0.840,0.960,0.120,1.000,1509,1731,2,6
P1,qwen3:4b,hybrid,0.940,+0.000,0.960,0.960,0.000,1.000,648,1567,2,2
P1,qwen3:8b,llm,0.927,+0.000,0.880,1.000,0.200,1.000,2373,2556,1,1
P1,qwen3:8b,hybrid,0.960,-0.007,0.880,1.000,0.000,1.000,1026,2460,1,0
P2,qwen3:0.6b,llm,0.207,-0.067,0.000,0.400,0.000,1.000,451,491,15,5
P2,qwen3:0.6b,hybrid,0.653,-0.007,0.480,0.920,0.000,1.000,197,475,5,4
P2,qwen3:4b,llm,0.893,+0.033,0.760,1.000,0.120,1.000,1366,1423,1,6
P2,qwen3:4b,hybrid,0.947,+0.007,0.840,1.000,0.000,1.000,607,1419,1,2
P2,qwen3:8b,llm,0.927,+0.000,0.880,1.000,0.160,1.000,1677,1793,4,4
P2,qwen3:8b,hybrid,0.967,+0.000,0.920,1.000,0.000,1.000,740,1732,1,1
P3,qwen3:0.6b,llm,0.207,-0.067,0.000,0.440,0.040,1.000,444,486,14,4
P3,qwen3:0.6b,hybrid,0.653,-0.007,0.480,0.920,0.000,1.000,196,477,5,4
P3,qwen3:4b,llm,0.880,+0.020,0.680,1.000,0.120,1.000,1354,1414,2,5
P3,qwen3:4b,hybrid,0.947,+0.007,0.840,1.000,0.000,1.000,601,1402,1,2
P3,qwen3:8b,llm,0.900,-0.027,0.800,0.960,0.120,1.000,1661,1782,7,3
P3,qwen3:8b,hybrid,0.933,-0.033,0.840,0.960,0.000,1.000,734,1715,5,0
